chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    17                   1                    1350                 3                    3.600000             
1                    18                   1                    1366                 2                    5.464000             
1                    19                   1                    1095                 3                    2.920000             
1                    20                   1                    1022                 1                    8.176000             
1                    29                   1                    1040                 0                    inf                  
1                    30                   1                    1060                 3                    2.826667             
1                    31                   1                    1029                 2                    4.116000             
1                    32                   1                    1035                 1                    8.280000             
1                    41                   1                    1079                 3                    2.877333             
1                    42                   1                    1069                 1                    8.552000             
1                    43                   1                    1059                 0                    inf                  
1                    44                   1                    1051                 0                    inf                  
1                    53                   1                    1076                 2                    4.304000             
1                    54                   1                    1098                 3                    2.928000             
1                    55                   1                    1053                 0                    inf                  
1                    56                   1                    1040                 2                    4.160000             
1                    65                   1                    1109                 2                    4.436000             
1                    66                   1                    1096                 0                    inf                  
1                    67                   1                    1080                 0                    inf                  
1                    68                   1                    1035                 2                    4.140000             
1                    77                   1                    1103                 0                    inf                  
1                    78                   1                    1142                 3                    3.045333             
1                    79                   1                    1122                 2                    4.488000             
1                    80                   1                    1143                 0                    inf                  
1                    89                   1                    1116                 3                    2.976000             
1                    90                   1                    1068                 2                    4.272000             
1                    91                   1                    1084                 2                    4.336000             
1                    92                   1                    1103                 0                    inf                  
1                    101                  1                    1185                 2                    4.740000             
1                    102                  1                    1098                 2                    4.392000             
1                    103                  1                    1091                 0                    inf                  
1                    104                  1                    1160                 3                    3.093333             
1                    113                  1                    1127                 2                    4.508000             
1                    114                  1                    1180                 3                    3.146667             
1                    115                  1                    1157                 0                    inf                  
1                    116                  1                    1198                 2                    4.792000             
1                    125                  1                    1055                 3                    2.813333             
1                    126                  1                    1084                 0                    inf                  
1                    127                  1                    1058                 3                    2.821333             
1                    128                  1                    1137                 1                    9.096000             
1                    21                   1                    1015                 3                    2.706667             
1                    33                   1                    1017                 0                    inf                  
1                    45                   1                    1025                 3                    2.733333             
1                    57                   1                    1031                 0                    inf                  
1                    69                   1                    1056                 0                    inf                  
1                    81                   1                    1186                 3                    3.162667             
1                    93                   1                    1201                 3                    3.202667             
1                    105                  1                    1192                 1                    9.536000             
1                    117                  1                    1156                 0                    inf                  
1                    129                  1                    1229                 2                    4.916000             
1                    137                  1                    1044                 3                    2.784000             
1                    138                  1                    1119                 1                    8.952000             
1                    139                  1                    1166                 0                    inf                  
1                    140                  1                    1083                 2                    4.332000             
1                    16                   1                    1151                 4                    2.302000             
1                    28                   1                    1182                 1                    9.456000             
1                    40                   1                    1038                 0                    inf                  
1                    52                   1                    1056                 3                    2.816000             
1                    64                   1                    1090                 3                    2.906667             
1                    76                   1                    1210                 2                    4.840000             
1                    88                   1                    1132                 0                    inf                  
1                    100                  1                    1124                 3                    2.997333             
1                    112                  1                    1122                 3                    2.992000             
1                    124                  1                    1138                 0                    inf                  
1                    141                  1                    1131                 0                    inf                  
1                    136                  1                    1127                 2                    4.508000             
1                    5                    1                    1048                 4                    2.096000             
1                    6                    1                    1053                 1                    8.424000             
1                    7                    1                    1046                 0                    inf                  
1                    8                    1                    1026                 3                    2.736000             
1                    9                    1                    1037                 3                    2.765333             
1                    4                    1                    1104                 0                    inf                  
2                    28                   1                    660                  0                    inf                  
2                    29                   1                    481                  0                    inf                  
2                    30                   1                    488                  2                    1.952000             
2                    31                   1                    461                  0                    inf                  
2                    32                   1                    472                  4                    0.944000             
2                    33                   1                    451                  0                    inf                  
2                    34                   1                    461                  1                    3.688000             
2                    40                   1                    483                  0                    inf                  
2                    41                   1                    508                  0                    inf                  
2                    42                   1                    517                  2                    2.068000             
2                    43                   1                    482                  0                    inf                  
2                    44                   1                    477                  4                    0.954000             
2                    45                   1                    463                  0                    inf                  
2                    46                   1                    502                  0                    inf                  
2                    52                   1                    489                  0                    inf                  
2                    53                   1                    510                  0                    inf                  
2                    54                   1                    532                  0                    inf                  
2                    55                   1                    482                  2                    1.928000             
2                    56                   1                    468                  0                    inf                  
2                    57                   1                    465                  2                    1.860000             
2                    58                   1                    470                  0                    inf                  
2                    64                   1                    524                  3                    1.397333             
2                    65                   1                    546                  0                    inf                  
2                    66                   1                    521                  1                    4.168000             
2                    67                   1                    499                  2                    1.996000             
2                    68                   1                    472                  0                    inf                  
2                    69                   1                    492                  2                    1.968000             
2                    70                   1                    483                  0                    inf                  
2                    76                   1                    631                  0                    inf                  
2                    77                   1                    535                  0                    inf                  
2                    78                   1                    573                  0                    inf                  
2                    79                   1                    540                  0                    inf                  
2                    80                   1                    574                  1                    4.592000             
2                    81                   1                    642                  3                    1.712000             
2                    82                   1                    617                  0                    inf                  
2                    88                   1                    560                  2                    2.240000             
2                    89                   1                    553                  0                    inf                  
2                    90                   1                    507                  0                    inf                  
2                    91                   1                    536                  2                    2.144000             
2                    92                   1                    540                  0                    inf                  
2                    93                   1                    645                  0                    inf                  
2                    94                   1                    666                  0                    inf                  
2                    100                  1                    562                  3                    1.498667             
2                    101                  1                    640                  0                    inf                  
2                    102                  1                    528                  3                    1.408000             
2                    103                  1                    530                  0                    inf                  
2                    104                  1                    597                  2                    2.388000             
2                    105                  1                    626                  0                    inf                  
2                    106                  1                    657                  3                    1.752000             
2                    112                  1                    558                  0                    inf                  
2                    113                  1                    560                  2                    2.240000             
2                    114                  1                    599                  0                    inf                  
2                    115                  1                    584                  0                    inf                  
2                    116                  1                    645                  0                    inf                  
2                    117                  1                    601                  0                    inf                  
2                    118                  1                    682                  2                    2.728000             
